,lat,log,alt,vazao,odml,temp,larg,prof,veloc,cond,Acestrorhynchus_lacustris,Apareiodon_ibitiensis,Apareiodon_piracicabae,Aphyocharax_anisitsi,Aphyocharax_dentatus,Aphyocharax_sp,Astyanax_lacustris,Astyanax_biotae,Astyanax_bockmanni,Astyanax_fasciatus,Astyanax_paranae,Brachypopomus_pinnicaudatus,Brachypopomus_sp.,Piabarchus_stramineus,Callichthys_callichthys,Cetopsorhamdia_iheringi,Characidium_gomesi,Characidium_lagosantense,Characidium_laterale,Characidium_zebra,Cichlasoma_dimerus,Cichlasoma_paranaense,Corydoras_aeneus,Crenicichla_britskii,Curimatopsis_myersi,Cyphocharax_gillii,Cyphocharax_modestus,Cyphocharax_vanderi,Eigenmannia_trilineata,Eigenmannia_virescens,Farlowella_hahni,Galeocharax_knerii,Gymnorhamphichthys_britskii,Gymnotus_inaequilabiatus,Gymnotus_pantanal,Gymnotus_sylvius,Curculionichthys_insperatus,Hoplerythrinus_unitaeniatus,Hoplias_mbigua,H_malabaricus,Hoplosternum_littorale,Hyphessobrycon_anisitsi,Hyphessobrycon_eques,Hypostomus_ancistroides,Hypostomus_iheringii,Hypostomus_regani,Hypostomus_strigaticeps,Imparfinis_mirini,Imparfinis_schubarti,Knodus_moenkhausii,Leporinus_friderici,Leporinus_lacustris,Loricariichthys_platymetopon,Melanorivulus_apiamici,Melanorivulus_ivinhemensis,Moenkhausia_bonita,Moenkhausia_forestii,Moenkhausia_sanctaefilomenae,Odontostilbe_kriegi,Odontostilbe_avanhandavae,Oligosarcus_pintoi,Othothiropsis_marapoama,Othothiropsis_polyodon,Otothyropsis_sp.,Parodon_nasus,Phalloceros_harpagos,Phenacorhmadia_tenebrosa,Piabina_argentea,Pimelodella_avanhandavae,Pimelodella_gracilis,Pimelodus_maculatus,Poecilia_reticulata,Prochilodus_lineatus,Psellogrammus_kennedyi,Pseudopimelodus_mangurus,Pseudoplatystoma_corruscans,Pyrrhulina_australis,Pyxiloricaria_menezesi,Rhamdia_quelen,Rhamphichthys_hahni,Rineloricaria_sp,Rineloricaria_lanceolata,Roeboides_descalvadensis,Roeboides_paranensis,Salminus_hilarii,Schizodon_borellii,Scoloplax_empousa,Serrapinus_calliurus,Serrapinnus_heterodon,S_nigrotaenia,Serrapinnus_notomelas,Serrapinnus_sp.,Serrasalmus_maculatus,Serrasalmus_marginatus,Steindachnerina_brevipinna,Steindachnerina_insculpta,Sternopygus_macrurus,Synbranchus_marmoratus,Trachelyopterus_galeatus,T_coriaceus,Trichomycterus_sp
IV20,-22.523583,-55.466,571,0.29248192776,7.27,19.1,1.7,0.3,0.573493976,35.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IV21,-21.742833,-55.012472,345,0.1655010286336,4.74,21.3,1.1,0.256,0.587716721,28.8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IV22,-21.6425,-55.122889,359,25.17778431,7.5,21.5,12,2.1,0.999118425,46.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IV23,-21.546806,-55.176806,364,0.2387203987558,6.73,23.6,1.3,0.442,0.415454923,55.9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV24,-21.825556,-55.151722,381,0.072579475,3.4,27.6,2,0.5,0.072579475,47.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV25,-21.950194,-54.631083,281,1.98164084811,2.3,22,3.5,1.57,0.360626178,85,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
IV26,-21.844528,-54.48725,277,1.479405994,6.26,24.4,4,1.1,0.336228635,91.6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
IV27,-21.618944,-54.630778,310,0.4939759048,5.92,21.9,5,1.64,0.060240964,61.5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IV28,-21.530444,-55.242861,384,4.0822111968,7.76,21.5,8,0.6,0.850460666,58.2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV29,-22.015889,-55.100306,376,2.7803521775,7.13,26.5,5,0.5,1.112140871,38.8,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
